Date,Time,StationCode,StationCode_original,Purpose,Depth,VolumeReceived,VolumeAnalyzed,PercentOfSampleCounted,FieldOfView,Slide_ChamberArea,AreaCounted,NumberOf FieldsCounted,Factor,BSA_TaxonID,Taxon,Diatom/SoftBody,Genus,Species,Synonym,UnitAbundance,NumberOfTotalCells,Colony_Filament_IndividualGroupCode,Comments,Shape,Biovolume1,Biovolume2,Biovolume3,Biovolume4,Biovolume5,Biovolume6,Biovolume7,Biovolume8,Biovolume9,Biovolume10,avg biovolume,Biovolume Density
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,NA,4,4,i,High sediment and moderate detritus.,cylinder,113.2983018,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.2983018,408263.4306
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,749,Nitzschia sp.,Diatom,Nitzschia,sp.,NA,2,2,i,High sediment and moderate detritus.,prism on parallelogram,49.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.28,88788.71767
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,2,2,i,High sediment and moderate detritus.,sphere,26.52182638,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.52182638,47784.88138
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,NA,1,1,i,High sediment and moderate detritus.,cylinder + 2 cones,11.76643265,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76643265,10599.90327
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,NA,3,3,i,High sediment and moderate detritus.,prolate spheroid,46.59239769,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.59239769,125919.6199
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,2,2,i,High sediment and moderate detritus.,cone + half sphere,186.3695908,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.3695908,335785.653
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,NA,594,1390,c,High sediment and moderate detritus.,sphere,0.268082347,0.268082347,0.268082347,0.268082347,0.268082347,0.065449792,0.065449792,0.065449792,0.065449792,0.065449792,0.16676607,208823.6018
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1759,cf. Glaucospira sp.,Soft Body,Glaucospira,sp.,NA,2,17,f,High sediment and moderate detritus.,cylinder,0.176714438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176714438,2706.313128
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,NA,6,60,f,High sediment and moderate detritus.,cylinder,1.208726752,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.208726752,65333.58258
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,NA,1,3,f,High sediment and moderate detritus.,cylinder,3.56256306,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56256306,9628.106911
11/28/2016,3:31,LIS,LIS,Normal,NA,62,1,0.016129032,0.069746499,314.159,0.348732495,5,900.8595543,1519,Snowella sp.,Soft Body,Snowella,sp.,NA,1,6,c,High sediment and moderate detritus.,sphere,0.381703185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381703185,2063.165767
10/31/2016,1:18,STTD,STTD,Normal,NA,67,1,0.014925373,0.069746499,314.159,0.348732495,5,900.8595543,631,Navicula sp.,Diatom,Navicula,sp.,NA,1,1,i,Moderate sediment and detritus.,elliptic prism,197.8384887,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8384887,178224.6928
