Station Code,Date,Time,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity,ZoopNetType,150_ZoopStartMeter,150_ZoopEndMeter,FlowMeterSpeed,VolMeso,SubMeso,VolMicro,SubMicro,50_ZoopStartMeter,50_ZoopEndMeter,50_SubMeso,50_VolMicro,50_SubMicro,50_VolMeso,Count,Subsample#,OrganismID,Classification,Organism,ZoopsData,50_ZoopsData
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,76,1,1,Microzooplankton & Nauplii,Rotifers,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,396,1,3,Microzooplankton & Nauplii,Copepod nauplii,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,3,1,6,Microzooplankton & Nauplii,Ostracods,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,24,1,8,Cyclopoids,Cyclopoid copepodid,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,6,1,16,Cyclopoids,Limnoithona tetraspina,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,174,1,64,Calanoids,Calanoid copepodids,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,5,1,23,Calanoids,Pseudodiaptomus forbesi adult,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,3,1,43,Cladocera,Alona,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,4,1,35,Cladocera,Bosmina,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,4,1,36,Cladocera,Ceriodaphnia,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,2,1,41,Cladocera,Diaphanosoma,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,1,1,102,Cladocera,Disparalona,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,50,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,2,1,46,Harpacticoids,Harpacticoids,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,150,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,161,1,1,Microzooplankton & Nauplii,Rotifers,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,150,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,191,1,3,Microzooplankton & Nauplii,Copepod nauplii,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,150,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,3,1,6,Microzooplankton & Nauplii,Ostracods,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,150,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,4,1,8,Cyclopoids,Cyclopoid copepodid,TRUE,TRUE
STTD,10/4/2016,11:33,16.3,0.23,166,199,7.23,8.33,35.60,150,959962,961000,Low,85,0.2,85,0.5,998795,999000,84,0.2,84,0.4,1,1,107,Cyclopoids,Paracyclops spp.,TRUE,TRUE
